FID,geom,longitud,latitud,profundida,magnitud__,fecha,hora_utc,clasif
sis_igp_2017.178,POINT (-78.9447 -8.7639),-78.9447,-8.7639,75,4.4,17/07/2017,06:26:57,Intermedio
sis_igp_2017.179,POINT (-73.5101 -14.1132),-73.5101,-14.1132,10,3.8,18/07/2017,01:14:00,Superficial
sis_igp_2017.180,POINT (-73.9141 -16.6692),-73.9141,-16.6692,34,6.3,18/07/2017,02:05:16,Superficial
sis_igp_2017.181,POINT (-73.9987 -16.4289),-73.9987,-16.4289,28,4.4,18/07/2017,03:28:53,Superficial
sis_igp_2017.182,POINT (-73.4401 -14.5732),-73.4401,-14.5732,10,3.8,18/07/2017,05:13:58,Superficial
sis_igp_2017.183,POINT (-73.7502 -16.5874),-73.7502,-16.5874,30,4.3,18/07/2017,17:48:19,Superficial
sis_igp_2017.184,POINT (-76.7619 -13.4966),-76.7619,-13.4966,53,4.3,19/07/2017,01:38:05,Superficial
sis_igp_2017.185,POINT (-76.949 -6.0497),-76.949,-6.0497,28,4.7,19/07/2017,10:05:14,Superficial
sis_igp_2017.186,POINT (-73.6982 -16.5135),-73.6982,-16.5135,29,4.2,20/07/2017,00:38:37,Superficial
sis_igp_2017.187,POINT (-73.7621 -16.4989),-73.7621,-16.4989,30,4.2,20/07/2017,14:19:32,Superficial
sis_igp_2017.188,POINT (-73.655 -14.1355),-73.655,-14.1355,105,4.6,20/07/2017,16:56:28,Intermedio
sis_igp_2017.189,POINT (-76.2759 -13.9379),-76.2759,-13.9379,50,4.4,20/07/2017,21:00:18,Superficial
sis_igp_2017.190,POINT (-74.6045 -15.9756),-74.6045,-15.9756,67,5.5,21/07/2017,15:22:18,Intermedio
sis_igp_2017.191,POINT (-77.178 -13.0931),-77.178,-13.0931,46,3.9,24/07/2017,21:47:59,Superficial
sis_igp_2017.192,POINT (-77.7126 -6.4217),-77.7126,-6.4217,15,3.6,24/07/2017,23:58:20,Superficial
sis_igp_2017.193,POINT (-76.9206 -12.6041),-76.9206,-12.6041,61,3.9,25/07/2017,12:03:43,Intermedio
sis_igp_2017.194,POINT (-75.7697 -7.5547),-75.7697,-7.5547,125,5.2,26/07/2017,20:59:51,Intermedio
sis_igp_2017.195,POINT (-73.5854 -14.5584),-73.5854,-14.5584,10,4,31/07/2017,13:48:59,Superficial
sis_igp_2017.196,POINT (-70.5384 -16.0554),-70.5384,-16.0554,17,3.8,01/08/2017,04:32:18,Superficial
sis_igp_2017.197,POINT (-76.0429 -11.2981),-76.0429,-11.2981,10,3.8,02/08/2017,05:40:07,Superficial
sis_igp_2017.198,POINT (-71.8742 -15.7325),-71.8742,-15.7325,9,3.7,02/08/2017,08:25:21,Superficial
sis_igp_2017.199,POINT (-76.0634 -8.5988),-76.0634,-8.5988,9,4.6,02/08/2017,20:10:54,Superficial
sis_igp_2017.200,POINT (-75.1595 -10.7747),-75.1595,-10.7747,31,4.6,03/08/2017,07:35:55,Superficial
sis_igp_2017.201,POINT (-78.4109 -10.7016),-78.4109,-10.7016,39,4.8,03/08/2017,23:17:19,Superficial
sis_igp_2017.202,POINT (-76.853 -12.9964),-76.853,-12.9964,53,3.9,04/08/2017,06:59:39,Superficial
sis_igp_2017.203,POINT (-70.471 -16.8562),-70.471,-16.8562,18,3.9,04/08/2017,17:19:20,Superficial
